comps,coverage,Seq
4710125,9.074534161,bowtie
4710143,9.39453125,bowtie
4710151,12.3515625,bowtie
4710155,4.5703125,bowtie
4710169,12.34179688,bowtie
4710179,34.61523438,bowtie
4710195,6.916179337,bowtie
4710199,5.1208577,bowtie
4710231,6.789473684,bowtie
4710245,11.70565302,bowtie
4710247,3.695906433,bowtie
4710261,5.292397661,bowtie
4710277,4.322265625,bowtie
4710289,6.231968811,bowtie
4710309,8.292682927,bowtie
4710329,5.736842105,bowtie
4710331,17.6588694,bowtie
4710335,3.830409357,bowtie
4710337,5.582846004,bowtie
4710347,8.700389105,bowtie
4710349,4.250972763,bowtie
4710357,10.57976654,bowtie
4710385,8.079522863,bowtie
4710393,12.92534381,bowtie
4710395,7.782101167,bowtie
4710397,7.272373541,bowtie
4710405,26.5077821,bowtie
4710411,21.69335938,bowtie
4710431,3.803501946,bowtie
4710435,6.029182879,bowtie
4710439,33.75291829,bowtie
4710443,3.079766537,bowtie
4710469,9.252918288,bowtie
4710491,14.51089109,bowtie
4710495,7.620622568,bowtie
4710497,6.73540856,bowtie
4710499,3.064202335,bowtie
4710507,6.733463035,bowtie
4710513,7.617475728,bowtie
4710529,12.90625,bowtie
4710531,20.31067961,bowtie
4710537,39.68543689,bowtie
4710549,18.9005848,bowtie
4710551,10.19921875,bowtie
4710577,16.44660194,bowtie
4710581,12.72564612,bowtie
4710593,17.70097087,bowtie
4710597,3.803883495,bowtie
4710599,10.8776699,bowtie
4710615,8.198058252,bowtie
4710623,7.778210117,bowtie
4710627,7.799610895,bowtie
4710631,3.807439825,bowtie
4710635,10.12219959,bowtie
4710645,9.087378641,bowtie
4710681,4.848837209,bowtie
4710689,13.10077519,bowtie
4710699,5.852713178,bowtie
4710711,4.371595331,bowtie
4710729,4.957364341,bowtie
4710731,13.47286822,bowtie
4710741,5.290697674,bowtie
4710743,6.310679612,bowtie
4710745,10.6996124,bowtie
4710753,4.802325581,bowtie
4710759,10.69379845,bowtie
4710761,6.029535865,bowtie
4710769,18.97669903,bowtie
4710781,5.839147287,bowtie
4710833,4.234042553,bowtie
4710837,27.25502008,bowtie
4710847,212.4874275,bowtie
4710855,13.27852998,bowtie
4710865,4.90503876,bowtie
4710873,8.98989899,bowtie
4710881,5.415860735,bowtie
4710887,5.0078125,bowtie
4710903,4.827852998,bowtie
4710923,4.553606238,bowtie
4710935,13.15145631,bowtie
4710937,4.817829457,bowtie
4710939,5.249516441,bowtie
4710947,4.684719536,bowtie
4710957,13.33950617,bowtie
4710961,5.833655706,bowtie
4710969,13.95744681,bowtie
4710971,26.38113949,bowtie
4710983,30.98262548,bowtie
4710987,10.95766129,bowtie
4710991,4.507722008,bowtie
4710999,5.640926641,bowtie
4711003,29.55984556,bowtie
4711011,5.528957529,bowtie
4711013,4.963320463,bowtie
4711019,38.54669261,bowtie
4711021,6.905405405,bowtie
4711035,4.959459459,bowtie
4711037,5.797297297,bowtie
4711043,4.362934363,bowtie
4711061,8.003868472,bowtie
4711075,5.544401544,bowtie
4711107,5.260617761,bowtie
4711109,14.73307544,bowtie
4711111,35.38610039,bowtie
4711121,4.876712329,bowtie
4711133,4.319845857,bowtie
4711139,12.148,bowtie
4711141,5.984585742,bowtie
4711143,6.113680154,bowtie
4711171,9.036324786,bowtie
4711173,7.167630058,bowtie
4711201,19.86434109,bowtie
4711203,13.87184466,bowtie
4711209,4.932432432,bowtie
4711211,4.924855491,bowtie
4711219,11.02504817,bowtie
4711225,7.007722008,bowtie
4711227,7.358381503,bowtie
4711233,11.5973025,bowtie
4711243,3.93647541,bowtie
4711251,4.143418468,bowtie
4711265,5.462427746,bowtie
4711269,4.643545279,bowtie
4711271,4.764822134,bowtie
4711277,22.18339768,bowtie
4711279,13.522158,bowtie
4711281,3.924710425,bowtie
4711287,8.87283237,bowtie
4711297,15.38269231,bowtie
4711305,4.215384615,bowtie
4711313,15.46346154,bowtie
4711327,12.89615385,bowtie
4711339,6.386538462,bowtie
4711341,22.15384615,bowtie
4711363,8.275529865,bowtie
4711371,5.228846154,bowtie
4711373,8.442084942,bowtie
4711381,6.137864078,bowtie
4711399,28.24615385,bowtie
4711419,11.98076923,bowtie
4711437,4.196153846,bowtie
4711443,28.30384615,bowtie
4711453,26.42307692,bowtie
4711511,10.42994242,bowtie
4711517,6.092130518,bowtie
4711521,7.833013436,bowtie
4711523,7.955854127,bowtie
4711531,7.815028902,bowtie
4711559,36.50287908,bowtie
4711571,14.19267823,bowtie
4711575,13.7173913,bowtie
4711587,7.238003839,bowtie
4711615,5.512476008,bowtie
4711623,4.477011494,bowtie
4711637,7.24137931,bowtie
4711641,9.557471264,bowtie
4711667,9.844827586,bowtie
4711675,4.03256705,bowtie
4711677,5.931034483,bowtie
4711693,6.126436782,bowtie
4711697,6.766283525,bowtie
4711701,10.80268199,bowtie
4711703,5.584291188,bowtie
4711721,7.662835249,bowtie
4711723,5.180076628,bowtie
4711725,8.597701149,bowtie
4711737,5.229885057,bowtie
4711745,3.045977011,bowtie
4711755,8.521072797,bowtie
4711763,10.79885057,bowtie
4711771,10.08076923,bowtie
4711781,9.481835564,bowtie
4711783,5.896749522,bowtie
4711795,4.152963671,bowtie
4711797,8.231357553,bowtie
4711801,40.62380038,bowtie
4711803,7.53371869,bowtie
4711823,3.177820268,bowtie
4711825,15,bowtie
4711839,7.078393881,bowtie
4711843,13.47775629,bowtie
4711857,4.783938815,bowtie
4711863,4.6875,bowtie
4711895,3.598470363,bowtie
4711899,4.609195402,bowtie
4711907,9.254863813,bowtie
4711909,5.68452381,bowtie
4711913,8.528735632,bowtie
4711921,4.5,bowtie
4711927,25.49203187,bowtie
4711929,7.064453125,bowtie
4711935,8.229007634,bowtie
4711939,20.98027613,bowtie
4711953,6.164122137,bowtie
4711981,22.55555556,bowtie
4711995,6.453252033,bowtie
4711997,15.81870229,bowtie
4712007,4.893129771,bowtie
4712011,9.33778626,bowtie
4712019,11.3030303,bowtie
4712023,12.01348748,bowtie
4712027,10.64435946,bowtie
4712039,5.461832061,bowtie
4712051,40.80916031,bowtie
4712055,24.07061069,bowtie
4712073,25.04190476,bowtie
4712079,74.44761905,bowtie
4712081,17.4952381,bowtie
4712099,11.99809524,bowtie
4712105,5.885714286,bowtie
4712111,5.44952381,bowtie
4712113,5.917782027,bowtie
4712119,3.708414873,bowtie
4712127,6.847619048,bowtie
4712137,4.89194499,bowtie
4712157,33.15087041,bowtie
4712165,7.834285714,bowtie
4712169,79.88380952,bowtie
4712173,6.314285714,bowtie
4712185,4.59082218,bowtie
4712193,6.032380952,bowtie
4712201,8.827722772,bowtie
4712207,9.669230769,bowtie
4712215,11.01330798,bowtie
4712227,68.48479087,bowtie
4712231,44.82509506,bowtie
4712241,6.86121673,bowtie
4712257,11.8269962,bowtie
4712261,5.507604563,bowtie
4712269,10.05323194,bowtie
4712287,4.159695817,bowtie
4712293,11.66159696,bowtie
4712297,5.697718631,bowtie
4712303,6.239215686,bowtie
4712307,12.58745247,bowtie
4712319,3.363117871,bowtie
4712329,5.317490494,bowtie
4712333,6.100760456,bowtie
4712335,8.708494208,bowtie
4712345,11.3583815,bowtie
4712347,10.9486692,bowtie
4712371,5.294676806,bowtie
4712377,9.150190114,bowtie
4712383,5.009487666,bowtie
4712393,26.08918406,bowtie
4712399,7.742857143,bowtie
4712405,4.59351145,bowtie
4712415,15.41745731,bowtie
4712423,4.848197343,bowtie
4712429,6.737642586,bowtie
4712433,6.318785579,bowtie
4712439,7.026768642,bowtie
4712445,5.290322581,bowtie
4712469,4.857414449,bowtie
4712487,6.656804734,bowtie
4712491,4.003787879,bowtie
4712493,7.540796964,bowtie
4712497,9.184971098,bowtie
4712501,13.87666034,bowtie
4712509,7.589015152,bowtie
4712517,38.6155303,bowtie
4712519,17.59659091,bowtie
4712523,14.79356061,bowtie
4712531,4.40719697,bowtie
4712535,14.27272727,bowtie
4712545,19.78219697,bowtie
4712549,21.73863636,bowtie
4712551,3.861742424,bowtie
4712567,12.46401515,bowtie
4712569,4.263257576,bowtie
4712575,9.465909091,bowtie
4712579,67.05492424,bowtie
4712587,5.914772727,bowtie
4712609,4.556818182,bowtie
4712611,7.140151515,bowtie
4712615,15.72916667,bowtie
4712617,10.42992424,bowtie
4712625,8.44402277,bowtie
4712639,22.50568182,bowtie
4712649,16.13173653,bowtie
4712653,4.984877127,bowtie
4712657,21.93005671,bowtie
4712665,7.728136882,bowtie
4712669,4.871455577,bowtie
4712691,19.54110899,bowtie
4712715,7.007736944,bowtie
4712729,7.827977316,bowtie
4712735,4.840466926,bowtie
4712743,3.70510397,bowtie
4712753,8.257088847,bowtie
4712759,5.220907298,bowtie
4712761,5.266540643,bowtie
4712769,3.413988658,bowtie
4712789,6.466666667,bowtie
4712791,4.718631179,bowtie
4712817,5.545808967,bowtie
4712827,4.215500945,bowtie
4712837,4.847169811,bowtie
4712839,7.128301887,bowtie
4712859,8.164772727,bowtie
4712861,3.716981132,bowtie
4712871,5.556603774,bowtie
4712873,6.983018868,bowtie
4712877,41.09056604,bowtie
4712897,8.118867925,bowtie
4712909,7.358490566,bowtie
4712915,5.969754253,bowtie
4712933,37.89245283,bowtie
4712951,9.922787194,bowtie
4712959,4.31826742,bowtie
4712965,9.123314066,bowtie
4712967,9.70433145,bowtie
4712969,8.247169811,bowtie
4713001,12.85606061,bowtie
4713003,4.553672316,bowtie
4713013,12.16195857,bowtie
4713031,5.549056604,bowtie
4713035,3.498069498,bowtie
4713037,5.261770245,bowtie
4713039,26.28125,bowtie
4713041,5.960451977,bowtie
4713057,5.138257576,bowtie
4713063,13.65725047,bowtie
4713065,5.696969697,bowtie
4713067,12.78719397,bowtie
4713071,12.36981132,bowtie
4713081,10.40681363,bowtie
4713105,8.652255639,bowtie
4713123,12.78528827,bowtie
4713135,80.53759398,bowtie
4713153,3.827067669,bowtie
4713169,7.695488722,bowtie
4713171,14.08834586,bowtie
4713179,8.517890772,bowtie
4713187,6.257088847,bowtie
4713201,5.339882122,bowtie
4713211,20.41098485,bowtie
4713225,5.793233083,bowtie
4713245,6.358348968,bowtie
4713257,19.96435272,bowtie
4713265,4.771106942,bowtie
4713267,14.18965517,bowtie
4713281,11.06525912,bowtie
4713317,5.232645403,bowtie
4713321,6.454372624,bowtie
4713345,7.300567108,bowtie
4713349,14.94371482,bowtie
4713355,8.073170732,bowtie
4713357,4.652908068,bowtie
4713377,9.031835206,bowtie
4713383,8.634831461,bowtie
4713385,3.682926829,bowtie
4713391,6.200378072,bowtie
4713395,6.220973783,bowtie
4713403,14.43632959,bowtie
4713409,12.73033708,bowtie
4713411,19.24157303,bowtie
4713429,5.07293666,bowtie
4713435,20.22097378,bowtie
4713447,60.31460674,bowtie
4713449,6.398496241,bowtie
4713451,7.224719101,bowtie
4713455,5.378277154,bowtie
4713481,10.58801498,bowtie
4713495,3.383895131,bowtie
4713503,4.953183521,bowtie
4713525,4.786915888,bowtie
4713535,13.53084112,bowtie
4713543,18.00957854,bowtie
4713545,7.203738318,bowtie
4713551,5.406072106,bowtie
4713565,10.74579439,bowtie
4713573,9.86728972,bowtie
4713579,12.70093458,bowtie
4713585,5.474766355,bowtie
4713597,5.539622642,bowtie
4713609,7.328971963,bowtie
4713627,6.603738318,bowtie
4713633,4.521495327,bowtie
4713635,12.9271028,bowtie
4713641,6.472897196,bowtie
4713649,6.98317757,bowtie
4713651,11.85849057,bowtie
4713655,5.02661597,bowtie
4713673,7.164179104,bowtie
4713697,7.510280374,bowtie
4713717,5.742537313,bowtie
4713727,7.609284333,bowtie
4713729,20.08768657,bowtie
4713731,40.91044776,bowtie
4713743,8.166044776,bowtie
4713755,10.75514019,bowtie
4713759,5.513833992,bowtie
4713761,12.67164179,bowtie
4713763,8.470149254,bowtie
4713767,5.770522388,bowtie
4713769,23.49440299,bowtie
4713775,4.468085106,bowtie
4713787,12.62313433,bowtie
4713801,18.32641509,bowtie
4713845,14.04283054,bowtie
4713847,4.08566108,bowtie
4713861,19.2886406,bowtie
4713863,5.510848126,bowtie
4713891,37.16759777,bowtie
4713895,17.84990619,bowtie
4713901,10.35114504,bowtie
4713903,9.832402235,bowtie
4713917,10.6380597,bowtie
4713919,8.448598131,bowtie
4713927,12.93045113,bowtie
4713933,7.463687151,bowtie
4713941,6.288640596,bowtie
4713947,23.62453532,bowtie
4713951,6.434944238,bowtie
4713963,6.291821561,bowtie
4713971,18.51858736,bowtie
4713973,5.280834915,bowtie
4713975,6.60341556,bowtie
4713981,35.8401487,bowtie
4713989,12.09851301,bowtie
4714011,28.77137546,bowtie
4714019,13.17657993,bowtie
4714021,15.94795539,bowtie
4714027,5.966542751,bowtie
4714035,5.74535316,bowtie
4714045,24.33705773,bowtie
4714059,23.48975791,bowtie
4714079,7.572761194,bowtie
4714081,5.356877323,bowtie
4714091,21.80148423,bowtie
4714097,4.844155844,bowtie
4714109,4.3283859,bowtie
4714127,5.987012987,bowtie
4714135,8.250463822,bowtie
4714163,9.083798883,bowtie
4714167,16.56586271,bowtie
4714173,4.749510763,bowtie
4714175,7.860853432,bowtie
4714177,15.06679035,bowtie
4714187,6.450834879,bowtie
4714191,13.2556391,bowtie
4714203,5.881261596,bowtie
